Pooja description,Inside the temple (Member),Inside the temple (Non-Member),Outside the temple (Member),Outside the temple (Non-Member),Name on Kiosk,,,,,,,,,,,,,,,,,,,,
Abhishekam (performed only during scheduled community temple hours),$51 ,$101 ,,,Abhishekam,,,,,,,,,,,,,,,,,,,,
Abhishekam (non-temple hours),$501 ,$751 ,,,,,,,,,,,,,,,,,,,,,,,
Akhand Ramayan Path with Priest coming ONCE either at Start or Finish,,,$151 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Akhand Ramayan Path with Priest coming twice at Start and Finish,,,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
"Annaprasanam, Chaula ( hair offering) Vidya Arambha (walkin and call office only)",$31 ,$51 ,$101 ,$151 ,Annaprasanam,,,,,,,,,,,,,,,,,,,,
Archana (walkin and call office only),$11 ,$11 ,,,Archana,,,,,,,,,,,,,,,,,,,,
Ayush/ Shanti Havan,$251 ,$301 ,$201 ,$251 ,,,,,,,,,,,,,,,,,,,,,
Bhumi Pooja,,,$151 ,$201 ,,,,,,,,,,,,,,,,,,,,,
Chandi Havan,$601 ,$701 ,$501 ,$601 ,,,,,,,,,,,,,,,,,,,,,
Funeral Services,,,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Ganpathi Havan,$251 ,$301 ,$201 ,$251 ,,,,,,,,,,,,,,,,,,,,,
Grihaprevash/ Vastu pooja,,,$175 ,$225 ,,,,,,,,,,,,,,,,,,,,,
Havan,$101 ,$151 ,,,,,,,,,,,,,,,,,,,,,,,
Hiranya Shraddha (walkin and call office only),$25 ,$51 ,,,Hiranya Shraddha,,,,,,,,,,,,,,,,,,,,
Mata Ki Choki,$51 ,$101 ,,,,,,,,,,,,,,,,,,,,,,,
Navagraha /Gayatri Havan,$251 ,$301 ,$201 ,$251 ,,,,,,,,,,,,,,,,,,,,,
Nischitartam ( Engagement),$101 ,$151 ,$175 ,$225 ,,,,,,,,,,,,,,,,,,,,,
Offering on Birthday (walkin and call office only),$21 ,$31 ,,,Birthday,,,,,,,,,,,,,,,,,,,,
Offering on Anniversary (walkin and call office only),$21 ,$31 ,,,Anniversary,,,,,,,,,,,,,,,,,,,,
Patra Pooja,$51 ,$101 ,$101 ,$151 ,,,,,,,,,,,,,,,,,,,,,
Private Pooja (non temple hours),$151 ,$201 ,,,,,,,,,,,,,,,,,,,,,,,
Punyavachanam with Pooja,$51 ,$75 ,$101 ,$151 ,,,,,,,,,,,,,,,,,,,,,
Sahasranama Pooja,$51 ,$101 ,,,,,,,,,,,,,,,,,,,,,,,
Sahastrachandra ( 80 Birthday),$301 ,$351 ,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Satyanarayana Vratam,$51 ,$151 ,$175 ,$225 ,,,,,,,,,,,,,,,,,,,,,
Satyanarayana Vratam (private in temple ),$151 ,$201 ,,,,,,,,,,,,,,,,,,,,,,,
Satyanarayan and Griha Pravesh pooja,,,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Seemantham with Havan,$175 ,$225 ,$201 ,$251 ,,,,,,,,,,,,,,,,,,,,,
Shanti Path Pooja,$51 ,$101 ,$101 ,$151 ,,,,,,,,,,,,,,,,,,,,,
Shashtipoorti ( 60th Birthday),,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha (1st),,,$151 ,$201 ,,,,,,,,,,,,,,,,,,,,,
Sudarshana Havan,$401 ,$501 ,$301 ,$351 ,,,,,,,,,,,,,,,,,,,,,
Sundarakand Path,,,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Upanayanam,$301 ,$351 ,$251 ,$301 ,,,,,,,,,,,,,,,,,,,,,
Vadamala (walkin and call office only),$31 ,$51 ,,,Vadamala,,,,,,,,,,,,,,,,,,,,
Vahana Pooja (walkin and call office only),$31 ,$51 ,,,Vahana Pooja,,,,,,,,,,,,,,,,,,,,
Wedding Ceremony,$351 ,$501 ,$501 ,$701 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The rate for out-of-town wedding services is $701 plus priest expenses.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
