Member Number,8 digits,,,
Member Class,Personal,Business,,
Member Type,Community,Annual,Life,Founding
Business Name,For Business Members Only,,,
Business EIN,Optional For Business Members Only,,,
Member Profile Name,Full Name Joint like Manish & Vandana Sharma,,,
Primary Member Email Address,,,,
Primary Phone Number 1,,,,
Primary Phone Number 2,,,,
Member Last Name,,,,
Member First Name,,,,
Member Nakshatra,,,,
Family Gotra,,,,
Secondary First Name,"Sould be Editable, Can be Blank",,,
Secondary Last Name,"Sould be Editable, Can be Blank",,,
Secondary Nakshatra,,,,
Secondary Email,,,,
Secondary Phone Number,,,,
Child 1 First Name,"Sould be Editable, Can be Blank",,,
Child 1 Last Name,"Sould be Editable, Can be Blank",,,
Child 1 Nakshatra,,,,
Child 1 Email,,,,
Child 2 First Name,"Sould be Editable, Can be Blank",,,
Child 2 Last Name,"Sould be Editable, Can be Blank",,,
Child 2 Nakshatra,,,,
Child 2 Email,,,,
Child 3 First Name,,,,
Child 3 Last Name,,,,
Child 3 Nakshatra,,,,
Child 3 Email,,,,
Child 4 First Name,,,,
Child 4 Last Name,,,,
Child 4 Nakshatra,,,,
Child 4 Email,,,,
Address 1,,,,
Address 2,,,,
City,,,,
State,,,,
Zip,,,,
Country,,,,
Mailing Address,Unified Address,,,
Member Since,Can only be edited by Temple Manager if Blank,,,
